Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-08-25 14:00:00,2022-08-25 16:00:00,561.12
Germany,DEU,2022-08-25 15:00:00,2022-08-25 17:00:00,643.46
Germany,DEU,2022-08-25 16:00:00,2022-08-25 18:00:00,703.93
Germany,DEU,2022-08-25 17:00:00,2022-08-25 19:00:00,758.77
Germany,DEU,2022-08-25 18:00:00,2022-08-25 20:00:00,748.02
Germany,DEU,2022-08-25 19:00:00,2022-08-25 21:00:00,696.88
Germany,DEU,2022-08-25 20:00:00,2022-08-25 22:00:00,655.87
Germany,DEU,2022-08-25 21:00:00,2022-08-25 23:00:00,599.1
Germany,DEU,2022-08-25 22:00:00,2022-08-26 00:00:00,600.82
Germany,DEU,2022-08-25 23:00:00,2022-08-26 01:00:00,577.96
Germany,DEU,2022-08-26 00:00:00,2022-08-26 02:00:00,574.59
Germany,DEU,2022-08-26 01:00:00,2022-08-26 03:00:00,573.57
Germany,DEU,2022-08-26 02:00:00,2022-08-26 04:00:00,573.2
Germany,DEU,2022-08-26 03:00:00,2022-08-26 05:00:00,601.0
Germany,DEU,2022-08-26 04:00:00,2022-08-26 06:00:00,731.69
Germany,DEU,2022-08-26 05:00:00,2022-08-26 07:00:00,778.77
Germany,DEU,2022-08-26 06:00:00,2022-08-26 08:00:00,803.34
Germany,DEU,2022-08-26 07:00:00,2022-08-26 09:00:00,775.65
Germany,DEU,2022-08-26 08:00:00,2022-08-26 10:00:00,742.33
Germany,DEU,2022-08-26 09:00:00,2022-08-26 11:00:00,704.03
Germany,DEU,2022-08-26 10:00:00,2022-08-26 12:00:00,674.28
Germany,DEU,2022-08-26 11:00:00,2022-08-26 13:00:00,646.76
Germany,DEU,2022-08-26 12:00:00,2022-08-26 14:00:00,626.21
Germany,DEU,2022-08-26 13:00:00,2022-08-26 15:00:00,642.41
Germany,DEU,2022-08-26 14:00:00,2022-08-26 16:00:00,674.22
Germany,DEU,2022-08-26 15:00:00,2022-08-26 17:00:00,756.24
Germany,DEU,2022-08-26 16:00:00,2022-08-26 18:00:00,778.93
Germany,DEU,2022-08-26 17:00:00,2022-08-26 19:00:00,787.94
Germany,DEU,2022-08-26 18:00:00,2022-08-26 20:00:00,788.77
Germany,DEU,2022-08-26 19:00:00,2022-08-26 21:00:00,758.04
Germany,DEU,2022-08-26 20:00:00,2022-08-26 22:00:00,730.95
Germany,DEU,2022-08-26 21:00:00,2022-08-26 23:00:00,686.23
Germany,DEU,2022-08-26 22:00:00,2022-08-27 00:00:00,660.17
Germany,DEU,2022-08-26 23:00:00,2022-08-27 01:00:00,617.67
Germany,DEU,2022-08-27 00:00:00,2022-08-27 02:00:00,602.34
Germany,DEU,2022-08-27 01:00:00,2022-08-27 03:00:00,569.99
Germany,DEU,2022-08-27 02:00:00,2022-08-27 04:00:00,556.84
Germany,DEU,2022-08-27 03:00:00,2022-08-27 05:00:00,565.28
Germany,DEU,2022-08-27 04:00:00,2022-08-27 06:00:00,566.43
Germany,DEU,2022-08-27 05:00:00,2022-08-27 07:00:00,597.42
Germany,DEU,2022-08-27 06:00:00,2022-08-27 08:00:00,628.09
Germany,DEU,2022-08-27 07:00:00,2022-08-27 09:00:00,634.87
Germany,DEU,2022-08-27 08:00:00,2022-08-27 10:00:00,615.74
Germany,DEU,2022-08-27 09:00:00,2022-08-27 11:00:00,571.14
Germany,DEU,2022-08-27 10:00:00,2022-08-27 12:00:00,550.82
Germany,DEU,2022-08-27 11:00:00,2022-08-27 13:00:00,478.45
Germany,DEU,2022-08-27 12:00:00,2022-08-27 14:00:00,472.57
Germany,DEU,2022-08-27 13:00:00,2022-08-27 15:00:00,439.16
Germany,DEU,2022-08-27 14:00:00,2022-08-27 16:00:00,456.24
Germany,DEU,2022-08-27 15:00:00,2022-08-27 17:00:00,522.49
Germany,DEU,2022-08-27 16:00:00,2022-08-27 18:00:00,613.8
Germany,DEU,2022-08-27 17:00:00,2022-08-27 19:00:00,654.79
Germany,DEU,2022-08-27 18:00:00,2022-08-27 20:00:00,663.82
Germany,DEU,2022-08-27 19:00:00,2022-08-27 21:00:00,643.81
Germany,DEU,2022-08-27 20:00:00,2022-08-27 22:00:00,614.55
Germany,DEU,2022-08-27 21:00:00,2022-08-27 23:00:00,551.16
Germany,DEU,2022-08-27 22:00:00,2022-08-28 00:00:00,518.76
Germany,DEU,2022-08-27 23:00:00,2022-08-28 01:00:00,453.56
Germany,DEU,2022-08-28 00:00:00,2022-08-28 02:00:00,420.87
Germany,DEU,2022-08-28 01:00:00,2022-08-28 03:00:00,402.6
Germany,DEU,2022-08-28 02:00:00,2022-08-28 04:00:00,399.16
Germany,DEU,2022-08-28 03:00:00,2022-08-28 05:00:00,391.1
Germany,DEU,2022-08-28 04:00:00,2022-08-28 06:00:00,401.23
Germany,DEU,2022-08-28 05:00:00,2022-08-28 07:00:00,418.93
Germany,DEU,2022-08-28 06:00:00,2022-08-28 08:00:00,431.52
