time,P,G(i),H_sun,T2m,WS10m,Int
20220117:1910,0.0,0.0,0.0,4.05,3.17,0.0
20220117:2010,0.0,0.0,0.0,3.76,2.97,0.0
20220117:2110,0.0,0.0,0.0,3.31,2.83,0.0
20220117:2210,0.0,0.0,0.0,2.86,2.62,0.0
20220117:2310,0.0,0.0,0.0,2.54,2.48,0.0
20220118:0010,0.0,0.0,0.0,2.36,2.55,0.0
20220118:0110,0.0,0.0,0.0,1.91,2.28,0.0
20220118:0210,0.0,0.0,0.0,1.79,2.0,0.0
20220118:0310,0.0,0.0,0.0,1.8,1.72,0.0
20220118:0410,0.0,0.0,0.0,1.97,1.59,0.0
20220118:0510,0.0,0.0,0.0,2.13,1.52,0.0
20220118:0610,0.0,0.0,0.0,2.32,1.52,0.0
20220118:0710,0.0,0.0,0.0,2.56,1.66,0.0
20220118:0810,24.27,44.0,6.18,2.7,1.59,0.0
20220118:0910,54.04,78.0,12.19,3.16,1.72,0.0
20220118:1010,46.77,69.0,16.36,3.63,1.52,0.0
20220118:1110,38.24,59.0,18.32,4.2,1.72,0.0
20220118:1210,35.71,56.0,17.88,4.48,1.86,0.0
20220118:1310,30.73,50.0,15.09,4.8,1.72,0.0
20220118:1410,12.91,27.0,10.21,4.82,1.38,0.0
20220118:1510,0.0,4.0,3.63,4.49,0.83,0.0
20220118:1610,0.0,0.0,0.0,3.83,0.69,0.0
20220118:1710,0.0,0.0,0.0,3.25,1.03,0.0
20220118:1810,0.0,0.0,0.0,2.7,1.1,0.0
20220118:1910,0.0,0.0,0.0,2.34,0.97,0.0
20220118:2010,0.0,0.0,0.0,2.34,0.83,0.0
20220118:2110,0.0,0.0,0.0,1.95,0.83,0.0
20220118:2210,0.0,0.0,0.0,1.39,0.9,0.0
20220118:2310,0.0,0.0,0.0,0.88,0.9,0.0
20220119:0010,0.0,0.0,0.0,0.02,0.97,0.0
20220119:0110,0.0,0.0,0.0,-0.77,0.97,0.0
20220119:0210,0.0,0.0,0.0,-1.66,0.9,0.0
20220119:0310,0.0,0.0,0.0,-1.83,1.1,0.0
20220119:0410,0.0,0.0,0.0,-1.24,1.31,0.0
20220119:0510,0.0,0.0,0.0,-1.27,1.52,0.0
20220119:0610,0.0,0.0,0.0,-1.02,1.79,0.0
20220119:0710,0.0,0.0,0.0,0.07,2.55,0.0
20220119:0810,30.98,55.0,6.32,0.06,2.69,0.0
20220119:0910,121.24,173.01,12.35,0.49,3.52,0.0
20220119:1010,146.99,186.0,16.54,1.03,4.0,0.0
